x,y,z,cu,value,UPL,angulo
24300.0,24800.0,3600.0,0.119,-44236.8,0.0,53
24316.0,24800.0,3600.0,0.155,-44236.8,0.0,53
24332.0,24800.0,3600.0,0.246,-44236.8,0.0,53
24348.0,24800.0,3600.0,0.447,-44236.8,0.0,53
24364.0,24800.0,3600.0,0.32299999999999995,-44236.8,0.0,53
24380.0,24800.0,3600.0,0.239,-44236.8,0.0,53
24396.0,24800.0,3600.0,0.282,-44236.8,0.0,53
24412.0,24800.0,3600.0,0.41,-44236.8,0.0,53
24428.0,24800.0,3600.0,0.278,-44236.8,0.0,53
24444.0,24800.0,3600.0,0.177,-44236.8,0.0,53
24460.0,24800.0,3600.0,0.272,-44236.8,0.0,53
24476.0,24800.0,3600.0,0.328,-44236.8,0.0,53
24492.0,24800.0,3600.0,0.514,-44236.8,0.0,53
24508.0,24800.0,3600.0,0.5770000000000001,12252.389,0.0,53
24524.0,24800.0,3600.0,0.28,-44236.8,0.0,53
24540.0,24800.0,3600.0,0.255,-44236.8,0.0,53
24556.0,24800.0,3600.0,0.235,-44236.8,0.0,53
24572.0,24800.0,3600.0,0.35200000000000004,-44236.8,0.0,53
24588.0,24800.0,3600.0,0.289,-44236.8,0.0,53
24604.0,24800.0,3600.0,0.16699999999999998,-44236.8,0.0,53
24620.0,24800.0,3600.0,0.13699999999999998,-44236.8,0.0,53
24636.0,24800.0,3600.0,0.086,-44236.8,0.0,53
24652.0,24800.0,3600.0,0.043,-44236.8,0.0,53
24668.0,24800.0,3600.0,0.047,-44236.8,0.0,53
24684.0,24800.0,3600.0,0.083,-44236.8,0.0,53
24700.0,24800.0,3600.0,0.075,-44236.8,0.0,53
24716.0,24800.0,3600.0,0.211,-44236.8,0.0,53
24732.0,24800.0,3600.0,0.196,-44236.8,0.0,53
24748.0,24800.0,3600.0,0.213,-44236.8,0.0,53
24764.0,24800.0,3600.0,0.241,-44236.8,0.0,53
24780.0,24800.0,3600.0,0.205,-44236.8,0.0,53
24796.0,24800.0,3600.0,0.168,-44236.8,0.0,53
24812.0,24800.0,3600.0,0.24,-44236.8,0.0,53
24828.0,24800.0,3600.0,0.213,-44236.8,0.0,53
24844.0,24800.0,3600.0,0.109,-44236.8,0.0,53
24860.0,24800.0,3600.0,0.234,-44236.8,0.0,53
24876.0,24800.0,3600.0,0.222,-44236.8,0.0,53
24892.0,24800.0,3600.0,0.317,-44236.8,0.0,53
24908.0,24800.0,3600.0,0.28600000000000003,-44236.8,0.0,53
24924.0,24800.0,3600.0,0.162,-44236.8,0.0,60
24940.0,24800.0,3600.0,0.172,-44236.8,0.0,60
24956.0,24800.0,3600.0,0.18,-44236.8,0.0,60
24972.0,24800.0,3600.0,0.2,-44236.8,0.0,60
24988.0,24800.0,3600.0,0.21,-44236.8,0.0,60
24300.0,24816.0,3600.0,0.107,-44236.8,0.0,53
24316.0,24816.0,3600.0,0.102,-44236.8,0.0,53
24332.0,24816.0,3600.0,0.17,-44236.8,0.0,53
24348.0,24816.0,3600.0,0.341,-44236.8,0.0,53
24364.0,24816.0,3600.0,0.348,-44236.8,0.0,53
24380.0,24816.0,3600.0,0.271,-44236.8,0.0,53
24396.0,24816.0,3600.0,0.254,-44236.8,0.0,53
24412.0,24816.0,3600.0,0.301,-44236.8,0.0,53
24428.0,24816.0,3600.0,0.232,-44236.8,0.0,53
24444.0,24816.0,3600.0,0.251,-44236.8,0.0,53
24460.0,24816.0,3600.0,0.377,-44236.8,0.0,53
